CONTAINER           NAME                   CPU                 MEM USAGE / LIMIT     MEM                 NET I/O             BLOCK I/O           PIDS
da51bb04fdc7        mavros                 3.09%               57.05MiB / 975.7MiB   5.85%               15.3MB / 2.59MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.53%               29.01MiB / 975.7MiB   2.97%               2.22MB / 1.32MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.97%               54.66MiB / 975.7MiB   5.60%               608kB / 292kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.03%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.83%               259.6MiB / 975.7MiB   26.60%              1.85MB / 199kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.82%               57.05MiB / 975.7MiB   5.85%               15.3MB / 2.6MB      44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.37%               29.01MiB / 975.7MiB   2.97%               2.23MB / 1.32MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.98%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  5.16%               259.6MiB / 975.7MiB   26.60%              1.85MB / 200kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.97%               57.05MiB / 975.7MiB   5.85%               15.3MB / 2.6MB      44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.45%               29.01MiB / 975.7MiB   2.97%               2.23MB / 1.33MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.04%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.47%               259.6MiB / 975.7MiB   26.60%              1.85MB / 200kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.52%               57.05MiB / 975.7MiB   5.85%               15.3MB / 2.6MB      44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.34%               29.01MiB / 975.7MiB   2.97%               2.23MB / 1.33MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.96%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  5.05%               259.6MiB / 975.7MiB   26.60%              1.85MB / 201kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.74%               57.05MiB / 975.7MiB   5.85%               15.3MB / 2.6MB      44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.40%               29.01MiB / 975.7MiB   2.97%               2.24MB / 1.33MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.15%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  5.11%               259.6MiB / 975.7MiB   26.60%              1.85MB / 201kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 3.03%               57.05MiB / 975.7MiB   5.85%               15.3MB / 2.61MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.33%               29.01MiB / 975.7MiB   2.97%               2.24MB / 1.33MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.10%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.73%               259.6MiB / 975.7MiB   26.60%              1.85MB / 202kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.90%               57.05MiB / 975.7MiB   5.85%               15.4MB / 2.61MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.48%               29.01MiB / 975.7MiB   2.97%               2.24MB / 1.33MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.07%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.89%               259.6MiB / 975.7MiB   26.60%              1.85MB / 203kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.83%               57.05MiB / 975.7MiB   5.85%               15.4MB / 2.61MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.53%               29.01MiB / 975.7MiB   2.97%               2.25MB / 1.34MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.12%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.03%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.11%               259.6MiB / 975.7MiB   26.60%              1.85MB / 203kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.99%               57.05MiB / 975.7MiB   5.85%               15.4MB / 2.61MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.36%               29.01MiB / 975.7MiB   2.97%               2.25MB / 1.34MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.98%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.55%               259.6MiB / 975.7MiB   26.60%              1.86MB / 203kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.64%               57.05MiB / 975.7MiB   5.85%               15.4MB / 2.62MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.24%               29.01MiB / 975.7MiB   2.97%               2.25MB / 1.34MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.97%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  6.54%               259.6MiB / 975.7MiB   26.60%              1.86MB / 203kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.91%               57.05MiB / 975.7MiB   5.85%               15.4MB / 2.62MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.49%               29.01MiB / 975.7MiB   2.97%               2.26MB / 1.34MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.98%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.27%               259.6MiB / 975.7MiB   26.60%              1.86MB / 204kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.78%               57.05MiB / 975.7MiB   5.85%               15.5MB / 2.62MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.25%               29.01MiB / 975.7MiB   2.97%               2.26MB / 1.34MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.00%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.04%               259.6MiB / 975.7MiB   26.60%              1.86MB / 204kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.80%               57.05MiB / 975.7MiB   5.85%               15.5MB / 2.62MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.25%               29.01MiB / 975.7MiB   2.97%               2.26MB / 1.35MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.04%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.18%               259.6MiB / 975.7MiB   26.60%              1.86MB / 204kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 3.32%               57.05MiB / 975.7MiB   5.85%               15.5MB / 2.63MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.30%               29.01MiB / 975.7MiB   2.97%               2.26MB / 1.35MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.07%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.03%               259.6MiB / 975.7MiB   26.60%              1.86MB / 204kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.56%               57.05MiB / 975.7MiB   5.85%               15.5MB / 2.63MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.17%               29.01MiB / 975.7MiB   2.97%               2.27MB / 1.35MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.00%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.69%               259.6MiB / 975.7MiB   26.60%              1.86MB / 204kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.84%               57.05MiB / 975.7MiB   5.85%               15.5MB / 2.63MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.30%               29.01MiB / 975.7MiB   2.97%               2.27MB / 1.35MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.04%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  5.00%               259.6MiB / 975.7MiB   26.61%              1.86MB / 205kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 3.12%               57.05MiB / 975.7MiB   5.85%               15.5MB / 2.64MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.60%               29.01MiB / 975.7MiB   2.97%               2.27MB / 1.35MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.04%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.69%               259.6MiB / 975.7MiB   26.61%              1.86MB / 206kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.47%               57.05MiB / 975.7MiB   5.85%               15.6MB / 2.64MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.56%               29.01MiB / 975.7MiB   2.97%               2.27MB / 1.36MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.99%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.47%               259.6MiB / 975.7MiB   26.61%              1.86MB / 206kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.71%               57.05MiB / 975.7MiB   5.85%               15.6MB / 2.64MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.38%               29.01MiB / 975.7MiB   2.97%               2.28MB / 1.36MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.18%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.44%               259.6MiB / 975.7MiB   26.61%              1.86MB / 207kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.91%               57.05MiB / 975.7MiB   5.85%               15.6MB / 2.64MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.39%               29.01MiB / 975.7MiB   2.97%               2.28MB / 1.36MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.06%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.03%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.73%               259.6MiB / 975.7MiB   26.61%              1.86MB / 207kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 3.04%               57.05MiB / 975.7MiB   5.85%               15.6MB / 2.65MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.17%               29.01MiB / 975.7MiB   2.97%               2.28MB / 1.36MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.01%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.40%               259.6MiB / 975.7MiB   26.61%              1.86MB / 208kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.88%               57.05MiB / 975.7MiB   5.85%               15.6MB / 2.65MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.20%               29.01MiB / 975.7MiB   2.97%               2.29MB / 1.36MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.98%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  5.81%               259.6MiB / 975.7MiB   26.61%              1.86MB / 208kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.82%               57.05MiB / 975.7MiB   5.85%               15.6MB / 2.65MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.35%               29.01MiB / 975.7MiB   2.97%               2.29MB / 1.37MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.05%               54.66MiB / 975.7MiB   5.60%               611kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  4.56%               259.6MiB / 975.7MiB   26.61%              1.87MB / 209kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 3.02%               57.05MiB / 975.7MiB   5.85%               15.7MB / 2.65MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.40%               29.01MiB / 975.7MiB   2.97%               2.29MB / 1.37MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.14%               54.66MiB / 975.7MiB   5.60%               612kB / 293kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.38MiB / 975.7MiB   4.55%               0B / 0B             58.2MB / 5.41MB     0
